Second,Millisecond,Depth,Rate (CPM),Release Velocity (MM/S),Valid/Invalid
356,122,3.04,120,157,Valid
356,618,3.096,120,154,Valid
357,122,3.129,117,154,Valid
357,618,3.094,120,176,Valid
358,122,3.056,120,156,Valid
358,618,3.17,120,143,Valid
359,114,3.218,119,170,Valid
359,618,3.124,122,155,Valid
360,114,3.256,115,175,Valid
360,618,3.142,120,162,Valid
361,138,3.01,117,145,Valid
361,634,3.106,117,147,Valid
362,138,3.056,120,158,Valid
362,642,2.957,119,156,Valid
363,139,3.025,120,163,Valid
363,627,3.094,122,162,Valid
364,147,2.908,117,142,Valid
364,643,3.033,119,159,Valid
365,155,3.119,119,159,Valid
365,675,3.152,115,153,Valid
366,171,3.19,117,182,Valid
366,691,3.081,120,138,Valid
367,179,3.117,119,166,Valid
367,691,3.023,115,164,Valid
368,195,2.929,122,154,Valid
368,715,3.198,115,166,Valid
369,227,3.167,117,174,Valid
369,731,3.157,119,162,Valid
370,227,2.934,122,124,Valid
370,723,3.053,120,141,Valid
371,219,3.028,117,173,Valid
371,739,2.951,119,134,Valid
372,243,3.086,117,153,Valid
372,747,3.048,119,167,Valid
373,260,3.051,117,151,Valid
373,756,3.145,120,164,Valid
374,260,3.145,119,153,Valid
374,756,3.226,119,174,Valid
375,252,3.152,122,156,Valid
375,772,3.109,115,136,Valid
376,268,2.936,122,124,Valid
376,772,3,115,173,Valid
377,268,2.929,122,154,Valid
377,764,3.028,120,140,Valid
378,268,3.066,115,158,Valid
378,772,3.096,119,151,Valid
379,300,3.195,115,158,Valid
379,844,3.078,111,155,Valid
380,452,3.223,98,141,Valid
